order_id,Week_Start,pizza_id,quantity,unit_price,total_price
1,2015-01-01,hawaiian_m,1,13.25,13.25
2,2015-01-01,classic_dlx_m,1,16.0,16.0
2,2015-01-01,five_cheese_l,1,18.5,18.5
2,2015-01-01,ital_supr_l,1,20.75,20.75
2,2015-01-01,mexicana_m,1,16.0,16.0
2,2015-01-01,thai_ckn_l,1,20.75,20.75
3,2015-01-01,ital_supr_m,1,16.5,16.5
3,2015-01-01,prsc_argla_l,1,20.75,20.75
4,2015-01-01,ital_supr_m,1,16.5,16.5
5,2015-01-01,ital_supr_m,1,16.5,16.5
6,2015-01-01,bbq_ckn_s,1,12.75,12.75
6,2015-01-01,the_greek_s,1,12.0,12.0
7,2015-01-01,spinach_supr_s,1,12.5,12.5
8,2015-01-01,spinach_supr_s,1,12.5,12.5
9,2015-01-01,classic_dlx_s,1,12.0,12.0
9,2015-01-01,green_garden_s,1,12.0,12.0
9,2015-01-01,ital_cpcllo_l,1,20.5,20.5
9,2015-01-01,ital_supr_l,1,20.75,20.75
9,2015-01-01,ital_supr_s,1,12.5,12.5
9,2015-01-01,mexicana_s,1,12.0,12.0
9,2015-01-01,spicy_ital_l,1,20.75,20.75
9,2015-01-01,spin_pesto_l,1,20.75,20.75
9,2015-01-01,veggie_veg_s,1,12.0,12.0
10,2015-01-01,mexicana_l,1,20.25,20.25
10,2015-01-01,southw_ckn_l,1,20.75,20.75
11,2015-01-01,bbq_ckn_l,1,20.75,20.75
11,2015-01-01,cali_ckn_l,1,20.75,20.75
11,2015-01-01,cali_ckn_m,1,16.75,16.75
11,2015-01-01,pepperoni_l,1,15.25,15.25
12,2015-01-01,cali_ckn_l,1,20.75,20.75
12,2015-01-01,cali_ckn_s,1,12.75,12.75
12,2015-01-01,ckn_pesto_l,1,20.75,20.75
12,2015-01-01,ital_supr_m,1,16.5,16.5
13,2015-01-01,mexicana_l,1,20.25,20.25
14,2015-01-01,the_greek_s,1,12.0,12.0
15,2015-01-01,big_meat_s,1,12.0,12.0
15,2015-01-01,five_cheese_l,1,18.5,18.5
15,2015-01-01,soppressata_l,1,20.75,20.75
15,2015-01-01,the_greek_s,1,12.0,12.0
16,2015-01-01,four_cheese_l,1,17.95,17.95
16,2015-01-01,napolitana_s,1,12.0,12.0
16,2015-01-01,thai_ckn_l,1,20.75,20.75
17,2015-01-01,bbq_ckn_l,1,20.75,20.75
17,2015-01-01,calabrese_m,1,16.25,16.25
17,2015-01-01,five_cheese_l,1,18.5,18.5
17,2015-01-01,four_cheese_m,1,14.75,14.75
17,2015-01-01,ital_supr_m,1,16.5,16.5
17,2015-01-01,ital_veggie_s,1,12.75,12.75
17,2015-01-01,mediterraneo_m,2,16.0,32.0
17,2015-01-01,mexicana_l,1,20.25,20.25
17,2015-01-01,peppr_salami_s,1,12.5,12.5
17,2015-01-01,spinach_fet_l,1,20.25,20.25
18,2015-01-01,napolitana_l,1,20.5,20.5
19,2015-01-01,ital_cpcllo_l,1,20.5,20.5
19,2015-01-01,sicilian_l,1,20.25,20.25
20,2015-01-01,big_meat_s,1,12.0,12.0
20,2015-01-01,five_cheese_l,1,18.5,18.5
21,2015-01-01,ital_cpcllo_l,1,20.5,20.5
22,2015-01-01,five_cheese_l,1,18.5,18.5
22,2015-01-01,ital_cpcllo_m,1,16.0,16.0
22,2015-01-01,southw_ckn_l,1,20.75,20.75
23,2015-01-01,southw_ckn_s,1,12.75,12.75
24,2015-01-01,bbq_ckn_m,1,16.75,16.75
24,2015-01-01,ital_cpcllo_m,1,16.0,16.0
24,2015-01-01,pepperoni_m,1,12.5,12.5
24,2015-01-01,prsc_argla_s,1,12.5,12.5
25,2015-01-01,sicilian_m,1,16.25,16.25
25,2015-01-01,thai_ckn_l,1,20.75,20.75
26,2015-01-01,classic_dlx_s,1,12.0,12.0
26,2015-01-01,veggie_veg_l,1,20.25,20.25
27,2015-01-01,bbq_ckn_l,1,20.75,20.75
27,2015-01-01,classic_dlx_m,1,16.0,16.0
27,2015-01-01,spinach_fet_l,1,20.25,20.25
28,2015-01-01,ckn_alfredo_s,1,12.75,12.75
29,2015-01-01,green_garden_s,1,12.0,12.0
30,2015-01-01,thai_ckn_l,1,20.75,20.75
31,2015-01-01,mexicana_m,1,16.0,16.0
31,2015-01-01,pepperoni_s,1,9.75,9.75
32,2015-01-01,big_meat_s,1,12.0,12.0
32,2015-01-01,green_garden_l,1,20.25,20.25
32,2015-01-01,ital_cpcllo_l,1,20.5,20.5
32,2015-01-01,ital_supr_m,1,16.5,16.5
33,2015-01-01,bbq_ckn_l,1,20.75,20.75
33,2015-01-01,green_garden_s,1,12.0,12.0
34,2015-01-01,the_greek_s,1,12.0,12.0
35,2015-01-01,green_garden_m,1,16.0,16.0
35,2015-01-01,pep_msh_pep_l,1,17.5,17.5
35,2015-01-01,pepperoni_m,1,12.5,12.5
